month,value,term,lane,theme,geo,source,notes
2016-01,100.0,Los Angeles museums,discovery_marketing,tourism_discovery,US-CA,Google Trends via pytrends,Proposal baseline keyword
2016-02,66.0,Los Angeles museums,discovery_marketing,tourism_discovery,US-CA,Google Trends via pytrends,Proposal baseline keyword
2016-03,67.0,Los Angeles museums,discovery_marketing,tourism_discovery,US-CA,Google Trends via pytrends,Proposal baseline keyword
2016-04,60.0,Los Angeles museums,discovery_marketing,tourism_discovery,US-CA,Google Trends via pytrends,Proposal baseline keyword
2016-05,58.0,Los Angeles museums,discovery_marketing,tourism_discovery,US-CA,Google Trends via pytrends,Proposal baseline keyword
2016-06,66.0,Los Angeles museums,discovery_marketing,tourism_discovery,US-CA,Google Trends via pytrends,Proposal baseline keyword
2016-07,70.0,Los Angeles museums,discovery_marketing,tourism_discovery,US-CA,Google Trends via pytrends,Proposal baseline keyword
2016-08,53.0,Los Angeles museums,discovery_marketing,tourism_discovery,US-CA,Google Trends via pytrends,Proposal baseline keyword
2016-09,48.0,Los Angeles museums,discovery_marketing,tourism_discovery,US-CA,Google Trends via pytrends,Proposal baseline keyword
2016-10,40.0,Los Angeles museums,discovery_marketing,tourism_discovery,US-CA,Google Trends via pytrends,Proposal baseline keyword
2016-11,49.0,Los Angeles museums,discovery_marketing,tourism_discovery,US-CA,Google Trends via pytrends,Proposal baseline keyword
2016-12,58.0,Los Angeles museums,discovery_marketing,tourism_discovery,US-CA,Google Trends via pytrends,Proposal baseline keyword
2017-01,87.0,Los Angeles museums,discovery_marketing,tourism_discovery,US-CA,Google Trends via pytrends,Proposal baseline keyword
2017-02,60.0,Los Angeles museums,discovery_marketing,tourism_discovery,US-CA,Google Trends via pytrends,Proposal baseline keyword
2017-03,57.0,Los Angeles museums,discovery_marketing,tourism_discovery,US-CA,Google Trends via pytrends,Proposal baseline keyword
2017-04,58.0,Los Angeles museums,discovery_marketing,tourism_discovery,US-CA,Google Trends via pytrends,Proposal baseline keyword
2017-05,67.0,Los Angeles museums,discovery_marketing,tourism_discovery,US-CA,Google Trends via pytrends,Proposal baseline keyword
2017-06,72.0,Los Angeles museums,discovery_marketing,tourism_discovery,US-CA,Google Trends via pytrends,Proposal baseline keyword
2017-07,80.0,Los Angeles museums,discovery_marketing,tourism_discovery,US-CA,Google Trends via pytrends,Proposal baseline keyword
2017-08,60.0,Los Angeles museums,discovery_marketing,tourism_discovery,US-CA,Google Trends via pytrends,Proposal baseline keyword
2017-09,56.0,Los Angeles museums,discovery_marketing,tourism_discovery,US-CA,Google Trends via pytrends,Proposal baseline keyword
2017-10,38.0,Los Angeles museums,discovery_marketing,tourism_discovery,US-CA,Google Trends via pytrends,Proposal baseline keyword
2017-11,48.0,Los Angeles museums,discovery_marketing,tourism_discovery,US-CA,Google Trends via pytrends,Proposal baseline keyword
2017-12,61.0,Los Angeles museums,discovery_marketing,tourism_discovery,US-CA,Google Trends via pytrends,Proposal baseline keyword
2018-01,77.0,Los Angeles museums,discovery_marketing,tourism_discovery,US-CA,Google Trends via pytrends,Proposal baseline keyword
2018-02,62.0,Los Angeles museums,discovery_marketing,tourism_discovery,US-CA,Google Trends via pytrends,Proposal baseline keyword
2018-03,70.0,Los Angeles museums,discovery_marketing,tourism_discovery,US-CA,Google Trends via pytrends,Proposal baseline keyword
2018-04,58.0,Los Angeles museums,discovery_marketing,tourism_discovery,US-CA,Google Trends via pytrends,Proposal baseline keyword
2018-05,55.0,Los Angeles museums,discovery_marketing,tourism_discovery,US-CA,Google Trends via pytrends,Proposal baseline keyword
2018-06,61.0,Los Angeles museums,discovery_marketing,tourism_discovery,US-CA,Google Trends via pytrends,Proposal baseline keyword
2018-07,67.0,Los Angeles museums,discovery_marketing,tourism_discovery,US-CA,Google Trends via pytrends,Proposal baseline keyword
2018-08,57.0,Los Angeles museums,discovery_marketing,tourism_discovery,US-CA,Google Trends via pytrends,Proposal baseline keyword
